date,close,daily_return,volume,temperature,humidity,cloud_cover,wind_speed,good_weather
2026-01-20,291.35,-0.04684790787450521,7211706,-8.8,60,0,18.6,0
2026-01-21,297.54,0.021245924146215955,5185023,-7.6,63,46,15.8,0
2026-01-22,294.67,-0.009645761914364503,3670152,3.0,60,71,19.2,0
2026-01-23,292.44,-0.007567787694709449,3298424,-1.0,41,69,22.0,0
2026-01-26,296.33,0.013301873888660776,3726890,-6.1,78,86,20.0,0
2026-01-27,293.86,-0.008335301859413446,2944722,-10.2,67,32,20.8,0
2026-01-28,294.16,0.0010208943034097917,5790347,-10.4,68,34,15.4,0
2026-01-29,309.24,0.051264617895023123,10124929,-11.8,69,6,13.8,0
2026-01-30,306.7,-0.008213685163626971,5940669,-12.5,63,0,14.6,0
2026-02-02,314.73,0.026181936746005885,4581189,-6.7,63,5,17.8,0
2026-02-03,294.31,-0.06488100911892736,11296020,-7.2,73,33,10.0,0
2026-02-04,289.05,-0.01787231150827351,8708033,-4.9,70,52,14.5,0
2026-02-05,289.89,0.002906071613907546,5532797,-8.2,74,7,12.4,0
2026-02-06,298.93,0.031184242298803122,3744313,-7.5,77,83,9.5,0
2026-02-09,296.34,-0.008664235774261675,4627815,-9.8,67,29,15.8,0
2026-02-10,291.76,-0.015455220354997579,3837343,-5.1,73,98,15.3,0
2026-02-11,272.81,-0.06495064436523168,7628244,0.8,74,72,17.6,0
2026-02-12,259.52,-0.04871522304900855,12565380,-1.4,71,91,17.0,0
2026-02-13,262.38,0.0110203452527744,6842620,-4.0,72,39,12.9,0
2026-02-17,258.31,-0.01551185303757907,4929733,2.4,87,64,11.4,0
2026-02-18,260.79,0.009600867175099781,3949229,1.7,95,98,8.5,0
2026-02-19,256.28,-0.017293607883738016,4948700,2.4,79,100,10.0,0
2026-02-20,257.16,0.003433744342125955,4708550,2.2,91,100,13.1,0
2026-02-23,223.35,-0.13147456836210925,19522881,-0.3,79,100,33.0,0
2026-02-24,229.32,0.026729348556078003,13379817,-4.5,70,34,20.2,0
2026-02-25,237.54,0.035845107273678734,8569713,-0.8,79,65,14.8,0
2026-02-26,242.01,0.01881788330386458,7343055,1.2,72,68,13.8,0
2026-02-27,240.21,-0.00743770918557074,6642222,-3.3,84,4,14.1,0
2026-03-02,239.37,-0.0034969401773448094,6220287,-5.8,62,44,12.4,0
2026-03-03,245.28,0.02468981075322718,6960369,-0.9,87,92,8.5,0
2026-03-04,250.06,0.019487932159165,6084995,3.7,91,88,9.2,0
2026-03-05,256.55,0.02595377109493735,9899962,3.6,97,100,14.0,0
2026-03-06,258.85,0.00896511401286304,6234402,3.7,86,100,17.5,0
2026-03-09,253.33,-0.02132509175197994,6126567,12.0,65,2,11.5,1
2026-03-10,250.2,-0.012355425729286051,4937960,14.9,65,3,10.6,1
